date,product,daily_sales_tons,inventory_tons,supplier_delay_days
2025-11-01,Urea,50,500,1
2025-11-02,DAP,40,420,2
2025-11-03,NPK,35,380,1
2025-11-04,Urea,52,495,1
2025-11-05,DAP,42,415,2
2025-11-06,NPK,36,375,2
2025-11-07,Urea,48,490,2
2025-11-08,DAP,39,410,3
2025-11-09,NPK,34,370,2
2025-11-10,Urea,47,485,2
2025-11-11,DAP,38,405,3
2025-11-12,NPK,33,365,3
2025-11-13,Urea,45,480,2
2025-11-14,DAP,37,400,3
2025-11-15,NPK,32,360,3
2025-11-16,Urea,44,475,3
2025-11-17,DAP,36,395,4
2025-11-18,NPK,31,355,3
2025-11-19,Urea,46,470,3
2025-11-20,DAP,38,390,4
2025-11-21,NPK,33,350,4
2025-11-22,Urea,49,465,4
2025-11-23,DAP,40,385,5
2025-11-24,NPK,35,345,4
2025-11-25,Urea,51,460,4
2025-11-26,DAP,41,380,5
2025-11-27,NPK,36,340,5
2025-11-28,Urea,53,455,5
2025-11-29,DAP,43,375,6
2025-11-30,NPK,37,335,5
2025-12-01,Urea,55,450,5
2025-12-02,DAP,44,370,6
2025-12-03,NPK,38,330,6
2025-12-04,Urea,54,445,6
2025-12-05,DAP,43,365,7
2025-12-06,NPK,37,325,6
2025-12-07,Urea,52,440,6
2025-12-08,DAP,42,360,7
2025-12-09,NPK,36,320,7
2025-12-10,Urea,50,435,7
2025-12-11,DAP,41,355,8
2025-12-12,NPK,35,315,7
2025-12-13,Urea,48,430,7
2025-12-14,DAP,40,350,8
2025-12-15,NPK,34,310,8
2025-12-16,Urea,47,425,8
2025-12-17,DAP,39,345,9
2025-12-18,NPK,33,305,8
2025-12-19,Urea,46,420,8
2025-12-20,DAP,38,340,9
2025-12-21,NPK,32,300,9
2025-12-22,Urea,45,415,9
2025-12-23,DAP,37,335,10
2025-12-24,NPK,31,295,9
2025-12-25,Urea,44,410,9
2025-12-26,DAP,36,330,10
2025-12-27,NPK,30,290,10
2025-12-28,Urea,43,405,10
2025-12-29,DAP,35,325,11
2025-12-30,NPK,29,285,10
